,full_word,pt1,rest
195,सिमटना,सिमट,ना
196,किलकना,किलक,ना
197,फिसलाना,फिसला,ना
198,खिसकना,खिसक,ना
199,पुस्तकालय,पुस्तक,ालय
200,खिलाड़ी,खिल,ाड़ी
201,विद्यालय,विद्या,लय
202,आँवला,आँवल,ा
203,नाशपाती,नाश,पाती
204,लीची,ली,ची
205,तरबूज़,तरबूज,़
206,खरबूज़ा,खरबूज,़ा
207,खरबूजा,खरबूज,ा
208,पपीता,पपी,ता
209,अनानास,अना,नास
210,आड़ू,आ,ड़ू
211,कटहल,क,टहल
212,सब्ज़ी,सब्ज़,ी
213,प्याज़,प्या,ज़
214,गाज़र,गा,ज़र
215,बैंगन,बैंग,न
216,लौकी,लौक,ी
217,कद्दू,क,द्दू
218,खीरा,खीर,ा
219,ककड़ी,क,कड़ी
220,पुदीना,पुदीन,ा
221,अदरक,अदर,क
222,पौधा,पौध,ा
223,कमरा,कम,रा
224,दरवाज़ा,दरवाज,़ा
225,कंबल,कं,बल
226,अलमारी,अल,मारी
227,खिलौना,खिल,ौना
228,गुड़िया,गुड़,िया
229,डमरू,डम,रू
230,बांसुरी,बां,सुरी
231,कागज़,का,गज़
232,रबर,र,बर
233,बैलगाड़ी,बैल,गाड़ी
234,कुत्ता,कु,त्ता
235,बिल्ली,बिल्,ली
236,ज़िराफ,ज़ि,राफ
237,ज़ेब्रा,ज़े,ब्रा
238,लोमड़ी,लोमड़,ी
239,गिलहरी,गिल,हरी
240,कछुआ,क,छुआ
241,बगुला,ब,गुला
242,मोरनी,मोर,नी
243,चींटी,चींट,ी
244,मकड़ी,म,कड़ी
245,मधुमक्खी,मधुमक्ख,ी
246,हमिंगबर्ड,हम,िंगबर्ड
247,मुर्गा,मुर्ग,ा
248,सारस,सार,स
249,बया,ब,या
250,चमगादड़,चमगादड,़
251,ऊदबिलाव,ऊद,बिलाव
252,बिल्ला,बिल्,ला
253,शावक,शा,वक
254,साँप,साँ,प
255,छिपकली,छिप,कली
256,केकड़ा,के,कड़ा
257,झींगा,झींग,ा
258,ऊँटनी,ऊँट,नी
259,थाली,था,ली
260,गिलास,गिला,स
261,सुराही,सुरा,ही
262,कड़ाही,कड़ा,ही
263,जीरा,जी,रा
264,तौलिया,तौ,लिया
265,कंघी,कंघ,ी
266,कपड़ा,क,पड़ा
267,जूता,जू,ता
268,मोज़ा,मो,ज़ा
269,धागा,धा,गा
270,फीता,फी,ता
271,थैला,थैल,ा
272,मटकी,मट,की
273,लड़का,लड़,का
274,नाना,ना,ना
275,चाची,चा,ची
276,फूफा,फूफ,ा
277,मछुआरा,मछुआ,रा
278,दरज़ी,दर,ज़ी
279,बढ़ई,बढ़,ई
280,रंगरेज़,रंग,रेज़
281,राजकुमारी,राजकुमार,ी
282,घोंसला,घों,सला
283,इंद्रधनुष,इंद्र,धनुष
284,सूर्यास्त,सूर्या,स्त
285,दीया,दी,या
286,मोमबत्ती,मोमबत्त,ी
287,कुकी,कु,की
288,नूडल्स,नूडल,्स
289,रंगोली,रंगोल,ी
290,पटाखा,पटा,खा
291,हथौड़ा,हथौ,ड़ा
292,खरगोश,खर,गोश
293,कुआँ,कु,आँ
294,पगडंडी,पगडं,डी
295,हौदा,हौ,दा
296,फ़र्श,फ़र्,श
297,छाता,छा,ता
298,फुलवारी,फुलवार,ी
299,खज़ाना,ख,ज़ाना
300,खिड़कीदार,खिड़की,दार
301,कपड़े,क,पड़े
302,सपना,स,पना
303,झोपड़ी,झोपड़,ी
304,दालचीनी,दाल,चीनी
305,सुपारी,सु,पारी
306,फुल्का,फुल,्का
307,पराठा,परा,ठा
308,मछलीघर,मछली,घर
309,घूसर,घूस,र
310,आम्रपाली,आम्र,पाली
311,नर्तकी,नर्तक,ी
312,गुलदस्ता,गुल,दस्ता
313,रुपया,रुप,या
314,सिक्का,सिक्,का
315,तिजोरी,तिजोर,ी
316,हरियाली,हरिया,ली
317,अंगूठी,अंगूठ,ी
318,टोकरी,टोकर,ी
319,चित्ताकर्षक,चित्ता,कर्षक
320,नम्रतापूर्ण,नम्र,तापूर्ण
321,आनंदमय,आनंद,मय
322,सुहाना,सुहा,ना
323,मिठास,मिठा,स
324,स्वर्गीय,स्वर्ग,ीय
325,रससिक्त,रस,सिक्त
326,मनभावन,मन,भावन
327,दिलकश,दिल,कश
328,रसप्रद,रस,प्रद
329,मधुमय,मधु,मय
330,मृदुभाषी,मृदु,भाषी
331,स्नेहमयी,स्नेह,मयी
332,फुर्तीला,फुर्त,ीला
333,सहयोगी,सहयोग,ी
334,उपयोगी,उपयोग,ी
335,वात्सल्यपूर्ण,वात्सल्य,पूर्ण
336,भीनी,भी,नी
337,समदर्शी,सम,दर्शी
338,उत्साहवर्धक,उत्साह,वर्धक
339,रोमांचक,रोमांच,क
340,मिठासभरा,मिठा,सभरा
341,मनोमुग्धकारी,मनो,मुग्धकारी
342,प्रेमपूर्ण,प्रेम,पूर्ण
343,आशीर्वादमय,आशीर्वाद,मय
344,खुशदिल,खुश,दिल
345,स्नेहिल,स्नेह,िल
346,ज्ञानी,ज्ञान,ी
347,प्रियदर्शी,प्रियदर्श,ी
348,सुवासित,सुवा,सित
349,उल्लासित,उल्लास,ित
350,सुकूनभरा,सुकून,भरा
351,उजला,उ,जला
352,नन्हा,न,न्हा
353,सुकोमल,सु,कोमल
354,सहजता,सहज,ता
355,सरसता,सर,सता
356,पतला,पत,ला
357,नमकीन,न,मकीन
358,फीका,फी,का
359,चमकीला,चमकी,ला
360,धुंधला,धुंध,ला
361,रंगीन,रंगी,न
362,सुगंधित,सुगंध,ित
363,खुशबूदार,खुशबू,दार
364,ताज़ा,ता,ज़ा
365,तेज़,ते,ज़
366,गीला,गी,ला
367,चमकदार,चमक,दार
368,चौकोर,चौ,कोर
369,तिकोना,तिकोन,ा
370,संकरी,संक,री
371,सुहावना,सुहा,वना
372,प्यारा,प्यार,ा
373,मजेदार,मज,ेदार
374,रोचक,रो,चक
375,चमचमाता,चमचमा,ता
376,झिलमिलाता,झिलमिला,ता
377,टिमटिमाता,टिमटिमा,ता
378,रसदार,रस,दार
379,रसीला,रसील,ा
380,मसालेदार,मसाले,दार
381,खुशनुमा,खुश,नुमा
382,सरल,सर,ल
383,सीधा,सी,धा
384,आशावादी,आशावाद,ी
385,नीचा,नी,चा
386,टेढ़ा,टेढ़,ा
387,महकता,महक,ता
388,सुरभित,सुर,भित
389,उज्ज्वलित,उज्ज्वल,ित
390,कमनीय,कम,नीय
391,मनोहर,मनो,रम
392,आकर्षक,आकर्ष,क
393,लुभावना,लुभावन,ा
394,मधुरस,मधुर,स
395,स्वादिष्ट,स्वा,दिष्ट
396,गुलाबी,गुलाब,ी
397,पीला,पी,ला
398,सुनहरा,सुन,हरा
399,चाँदनी,चाँद,नी
400,संतरी,संत,री
401,मित्रवत,मित्र,वत
402,मलाईदार,मलाई,दार
403,मखमली,मखमल,ी
404,खिलता,खिल,ता
405,इंद्रधनुषी,इंद्र,धनुषी
406,रसपूर्ण,रस,पूर्ण
407,सरस,सर,स
408,ऊर्जावान,ऊर्जा,वान
409,जैवंत,जै,वंत
410,सजीव,स,जीव
411,क्रियाशील,क्रिया,शील
412,फुर्तीला,फुर्त,ीला
413,तरोताज़ा,तरो,ताज़ा
414,बैंगनी,बैंग,नी
415,सतरंगी,सत,रंगी
416,मोहक,मोह,क
417,रमणीय,रमण,ीय
418,शांतिपूर्ण,शांति,पूर्ण
419,साहसी,साहस,ी
420,मैत्रीपूर्ण,मैत्री,पूर्ण
421,मिलनसार,मिलन,सार
422,बुद्धिमान,बुद्धि,मान
423,मेहनती,मेहनत,ी
424,आनंदित,आनंद,ित
425,उल्लासपूर्ण,उल्लास,पूर्ण
426,आकर्षक,आकर्ष,क
427,उत्साहपूर्ण,उत्साह,पूर्ण
428,सुकोमल,सु,कोमल
429,सुगठित,सु,गठित
430,लहरदार,लहर,दार
431,मसृण,मस,ृण
432,खिलखिलाता,खिलखिला,ता
433,रूपवान,रूप,वान
434,सूरजमुखी,सूरज,मुखी
