sr,full_word,root,rest
106,रोवणे,रोव,णे
107,सक्रिय,सक्र,िय
108,दुर्लभ,दुर्लभ,
109,स्वर्ग,स्वर्ग,
110,महत्त्वपूर्ण,महत्त्व,पूर्ण
111,पचवलेला,पच,वलेला
112,किंचाळणे,किंचाळ,णे
113,मोलाचा,मोल,ाचा
114,हटवादी,हट,वादी
115,अंडे,अंड,े
116,स्थिर,स्थिर,
117,पान,पान,
118,सखल,सख,ल
119,भक्तिशून्य,भक्ति,शून्य
120,लक्षणीय,लक्षण,ीय
121,दीप्त,दीप,्त
122,वाढणे,वाढ,णे
123,जंगल,जंग,ल
124,जाणता,जाण,ता
125,लंपट,लंप,ट
126,विसरणे,विसर,णे
127,साहित्यप्रेमी,साहित्य,प्रेमी
128,लढणे,लढ,णे
129,सोमसपणे,सोम,सपणे
130,मिळवणे,मिळ,वणे
131,ठेवणे,ठेव,णे
132,उनाड,उन,ाड
133,मोहनीय,मोह,नीय
134,उचकणे,उचक,णे
135,शोभनीय,शोभ,नीय
136,सुरेल,सुर,ेल
137,अटवणे,अट,वणे
138,शुभ,शुभ,
139,गुरकावणे,गुर,कावणे
140,उद्देशिलेला,उद्देश,िलेला
141,कांचन,कांच,न
142,झोंबणे,झोंब,णे
143,जैतून,जैत,ून
144,किल्ली,किल,्ली
145,नक्षीदार,नक्षी,दार
146,आश्चर्यमय,आश्चर्य,मय
147,गुप्तधन,गुप्त,धन
148,एवढा,एव,ढा
149,अनुनासिक,नास,अनुसिक
150,आकाश,आकाश,
151,नदी,नदी,
152,उपसणे,उप,सणे
153,खस्ता,खस्त,ा
154,अछिद्रान्वेषी,अन्वेषी,अछिद्र
155,विस्तृत,विस्तर,त
156,स्वप्न,स्वप्न,
157,हजर,हज,र
158,समजणे,समज,णे
159,लंघणे,लंघ,णे
160,सुहृदय,सु,हृदय
161,सुकणे,सुक,णे
162,शीतल,शीत,ल
163,नाच,नाच,
164,देणे,दे,णे
165,बाग,बाग,
166,उखाडणे,उखाड,णे
167,क्षुद्र,क्षुद्र,
168,शेवाळणे,शेवाळ,णे
169,तोडणे,तोड,णे
170,धुरंधर,धुर,ंधर
171,कपडा,कप,डा
172,लपवणे,लप,वणे
173,जुलमी,जुलम,ी
174,शृंगारणे,शृंगार,णे
175,पापभीरू,पाप,भीरू
176,सुदेव,सु,देव
177,राजसी,राज,सी
178,मऊमऊ,मऊ,मऊ
179,मोहणे,मोह,णे
180,चकचकीत,चकचकी,त
181,जाणे,जाण,े
182,केक,केक,
183,घरघरणे,घर,घरणे
184,नफेखोर,नफा,खोर
185,पहाडी,पहाड,ी
186,आणणे,आण,णे
187,अनुत्पादक,उत्पाद,अन
188,हिरवाईपूर्ण,हिरवाई,पूर्ण
189,चांदी,चांद,ी
190,चघळणे,चघळ,णे
191,अंचवणे,अंच,वणे
192,लावणे,लाव,णे
193,अनिच्छ,इच्छ,अन
194,चमकणे,चमक,णे
195,अनुरंजित,रंज,अनुजित
196,बालसुलभ,बाल,सुलभ
197,कल्पनारम्य,कल्पना,राम्य
198,अद्भुत,अद्भुत,
199,आक्रंदणे,आक्रंद,णे
200,बासरी,बास,री
201,आश्चर्यकारक,आश्चर्य,कारक
202,राहणे,राह,णे
203,ध्रुव,ध्रुव,
204,विविध,विविध,
205,अखंड्य,अखंड,्य
206,फणस,फणस,
207,हिणकट,हिण,कट
208,भावनाप्रधान,भावना,प्रधान
209,पायस,पाय,स
210,केकटणे,केकट,णे
211,ओरडणे,ओरड,णे
212,हसणे,हस,णे
213,आळसावणे,आळस,आवणे
214,सक्षम,सक्षम,
215,कसा,कस,ा
216,गाव,गाव,
217,कष्टाळू,कष्ट,ाळू
218,संभाळणे,संभाळ,णे
219,फुलदाणी,फुल,दाणी
220,ठकवणे,ठक,वणे
221,मंच,मंच,
222,सडासोट,सडा,सोट
223,गरकावणे,गर,कावणे
224,शहर,शहर,
225,हटविणे,हट,विणे
226,अहितकर,हित,अ
227,सुगंध,गंध,सु
228,कल्हईचा,कल्हई,चा
229,संदेहस्पद,संदेह,स्पद
230,श्रद्धाळू,श्रद्धा,ळू
231,खर्चणे,खर्च,णे
232,गुरुहीन,गुरु,हीन
233,तकरार,तकर,ार
234,भूतकालीन,भूत,कालीन
235,क्षतविक्षत,क्षत,विक्षत
236,चमकणे,चमक,णे
237,निर्गुण,गुण,निर्गुण
238,नरम,नर,म
239,घाटदार,घाट,दार
240,स्वच्छ,स्वच्छ,
241,प्रथम,प्रथ,म
242,स्निग्ध,स्निग्ध,
243,कोमोरोसी,कोमो,रोसी
244,झोपणे,झोप,णे
245,झोपलेला,झोप,लेला
246,प्रकाश्य,प्रकाश,्य
247,पवित्रता,पवित्र,ता
248,दरवाजा,दर,वाजा
249,घेरणे,घेर,णे
250,चवदार,चव,दार
251,लांबवलेला,लांब,वलेला
252,अडकणे,अडक,णे
253,मैत्री,मैत्र,ी
254,द्व्यर्थी,द्व्यर्थ,ी
255,मैना,मैना,
256,संसदीय,संसद,ीय
257,दुर्बळ,बळ,दुर्ब
258,रुजणे,रुज,णे
259,घसरणे,घस,रणे
260,प्रार्थनीय,प्रार्थना,नीय
261,आंबटवाणा,आंबट,वाणा
262,हवामय,हवा,मय
263,सुन्न,सुन्न,
264,सौंदर्य,सौंदर,्य
265,चुंबणे,चुंब,णे
266,चिक्कू,चिक्क,ू
267,करणे,कर,णे
268,कमळ,कमळ,
269,सामावणे,सामाव,णे
270,खेळणे,खेळ,णे
271,तेज,तेज,
272,हसू,हस,ू
273,ढेकूणग्रस्त,ढेकूण,ग्रस्त
274,लेकुरवाळा,लेकुर,वाळा
275,अनुसृत,अनु,सृत
276,अविज्ञात,ज्ञा,अवि
277,स्वप्नाळू,स्वप्न,ाळू
278,अठ्ठेचाळिसावा,चाळीस,अठ्ठे
279,भेट,भेट,
280,गोडधोड,गोड,धोड
281,समुद्रपट्टीय,समुद्र,पट्टीय
282,श्रावण,श्राव,ण
283,लिहिण्याजोगा,लिहिण्य,ाजोगा
284,आंबटढाण,आंबट,ढाण
285,शिकवणे,शिक,वणे
286,तेवणे,तेव,णे
287,चवथा,चव,था
288,उधडणे,उधड,णे
289,घुबड,घुब,ड
290,प्रकाशमय,प्रकाश,मय
291,स्तन,स्तन,
292,अंबट,अंब,ट
293,बेडौल,बेड,ौल
294,शास्त्रीय,शास्त्र,ीय
295,स्वर्गसुखी,स्वर्ग,सुखी
296,अप्रचलित,चल,अप्र
297,ठकविणे,ठक,विणे
298,रूपकथा,रूप,कथा
299,रोखणे,रोख,णे
300,घायकुत्या,घाय,कुत्या
301,भूवैज्ञानिक,भू,वैज्ञानिक
302,वाढणे,वाढ,णे
303,झुंजविणे,झुंज,विणे
304,मधुरभाषी,भाषा,मधुर
305,आसवणे,आस,वणे
306,पसरवणे,पसर,वणे
307,महत्त्वहीन,महत्त्व,हीन
308,वाजवणे,वाज,वणे
309,खरबपती,खरब,पती
310,गौरवशाली,गौरव,शाली
311,काढणे,काढ,णे
312,प्रेममय,प्रेम,मय
313,ग्रस्त,ग्रस,त
314,कडकडणे,कडक,डणे
315,कल्याणकारक,कल्याण,कारक
316,परीसारखा,सार,परी
317,फलाणा,फल,ाणा
318,भ्याड,भ्याड,
319,आनंदमय,आनंद,मय
320,छत्रधारी,छत्र,धारी
321,कापराचा,कापरा,चा
322,छत्तीसगडी,छत्तीस,गडी
323,अठरावा,अठरा,वा
324,इंद्रधनुषी,इंद्रधनुष,ी
325,शुक्रतारा,शुक्र,तारा
326,बलवान,बल,वान
327,जिंकणे,जिंक,णे
328,नागपुरी,नाग,पुरी
329,रवाळ,रव,ाळ
330,भिरकी,भिर,की
331,मनमोहक,मन,मोहक
332,होडी,होड,ी
333,परधार्जिणा,धार्जिणा,पर
334,महिमान्वित,महिमा,अन्वित
335,डोंगर,डोंग,र
336,निर्विघ्न,निर्विघ्न,
337,चावणे,चाव,णे
338,छेदणे,छेद,णे
339,तुसडा,तुस,डा
340,निळसर,निळ,सर
341,नक्कल्या,नक्कल,या
342,बंधुत्वपूर्ण,बंधुत्व,पूर्ण
343,शूर,शूर,
344,अस्वास्थ्यकारक,स्वास्थ्य,"अ"" ""कारक"
345,धागा,धाग,ा
346,नखरेबाज,नखरे,बाज
347,असणे,अस,णे
348,पाठवणे,पाठ,वणे
349,क्रांतिकारक,क्रांति,कारक
350,घडवणे,घड,वणे
351,गोड,गोड,
352,जुळवणे,जुळ,वणे
353,बोलणे,बोल,णे
354,निस्संग,संग,निस्स
355,फितुर,फित,ुर
356,हेंदोवणे,हेंदो,वणे
357,चुंफणे,चुंफ,णे
358,अद्वितीय,द्वितीय,अ
359,फुत्करणे,फुत्कर,णे
360,गिरवणे,गिर,वणे
361,वेदविद्,वेद,विद्
362,निलिमा,निल,िमा
363,निर्वात,निर्व,ात
364,अनिर्णीत,निर्णीत,अ
365,विहीर,विहीर,
366,ऊबदार,ऊब,दार
367,कविता,कव,िता
368,वासणे,वास,णे
369,भाराभर,भार,भर
370,रक्ताळणे,रक्त,ाळणे
371,उल्लासित,उल्लास,ित
372,नारळ,नार,ळ
373,वही,वह,ई
374,रहस्यमय,रहस्य,मय
375,हरवणे,हरव,णे
376,डचमळणे,डच,मळणे
377,मिश्रणीय,मिश्रण,ीय
378,निर्बल,निर्बल,
379,कल्पनाशील,कल्पना,शील
380,सजणे,सज,णे
381,बाळगणे,बाळग,णे
382,भोळा,भोळ,ा
383,असंवैधानिक,संवैधान,िक
384,दूध,दूध,
385,येणे,ये,णे
386,अंकी,अं,की
387,गुळगुळीत,गुळ,गुळीत
388,टापटीप,टाप,टीप
389,गर्हणीय,गर्हण,ीय
390,चिंतनशील,चिंतन,शील
391,झुंजणे,झुंज,णे
392,सोने,सो,ने
393,वेडावणे,वेडा,वणे
394,तांब्याचा,तांब्या,चा
395,अलंघनीय,अलंघ,नीय
396,धुतकावणे,धुत,कावणे
397,लंबवर्तुळाकार,लंब,वर्तुळाकार
398,लुचणे,लुच,णे
399,चकाकणे,चकाक,णे
400,सगुण,गुण,स
401,उपयुक्त,उप,युक्त
402,थकणे,थक,णे
403,पाऊस,पाऊ,स
404,शंख,शंख,
405,अधुवा,अधु,वा
406,पांकणे,पांक,णे
407,दामटणे,दामट,णे
408,खरमरीत,खर,मरीत
409,मेघमय,मेघ,मय
410,झाड,झाड,
411,लुळा-लंगडा,लंगड,ा
412,फुल,फुल,
413,सोनाली,सोना,ली
414,शेफारणे,शेफार,णे
415,हेंदोलणे,हेंदोल,णे
416,मायावी,माया,वी
417,लुबाडणे,लुबाड,णे
418,भव्य,भव्य,
419,अकौटुंबिक,कौटुंब,िक
420,कार्यक्रम,कार्य,क्रम
421,देश,देश,
422,प्रकाश-छायायुक्त,प्रकाश,छायायुक्त
423,नंदनवन,नंदन,वन
424,खुसखुशीत,खुस,खुशीत
425,बेट,बेट,
426,मोहक,मोह,क
427,सावली,साव,ली
428,पुच्छहीन,पुच्छ,हीन
429,उदार,उद,आर
430,अकालिक,काल,अ
431,स्नेहमय,स्नेह,मय
432,असित,अस,ित
433,टोकाचा,टोक,ाचा
434,अचुंबकीय,चुंबक,ीय
435,निर्मळ,निर्म,ळ
436,दोलायमान,दोल,ायमान
437,लपाछपी,लप,ाछपी
438,प्रतिष्ठित,प्रतिष्ठा,ित
439,अमूल्य,मूल,अ
440,आनंददायक,आनंद,दायक
441,खिडकी,खिड,की
442,उद्यान,उद्या,न
443,खेन्नकरप,खेन्न,करप
444,राजवाडा,राज,वाडा
445,मोर,मोर,
446,ढोल,ढोल,
447,कातळी,कात,ळी
448,सितार,सित,ार
449,धकणे,धक,णे
450,बाळ,बाळ,
451,पोहोचणे,पोहोच,णे
452,डॉल्फिन,डॉल्फ,िन
453,वाढवणे,वाढ,वणे
454,परावलंबी,परावलंब,ी
455,पक्षी,पक्ष,ी
456,पडणे,पड,णे
457,पांडित्यपूर्ण,पांडित्य,पूर्ण
458,धनदायी,धन,दायी
459,लाडका,लाड,का
460,नववारी,नव,वारी
461,चुकारतट्टु,चुकार,तट्टु
462,सोपे,सो,पे
463,गोरटा,गोर,टा
464,सोडणे,सोड,णे
465,महान,मह,आन
466,अभियात्री,अभियात,्री
467,ग्रंथित,ग्रंथ,ित
468,निरभ्र,निर,भ्र
469,अमुकतमुक,अमुक,तमुक
470,तक्रारकर्ता,तक्रार,कर्ता
471,खाणे,खा,णे
472,मारणे,मार,णे
473,उपभोगणे,भोग,"उप"" + ""णे"
474,रंगबेरंगी,रंग,बेरंगी
475,घालणे,घाल,णे
476,रसाळ,रस,ाळ
477,पापी,पाप,ी
478,मन,मन,
479,स्वाभाविक,स्वाभाव,िक
480,हत्ती,हत्त,ी
481,डळमळीत,डळ,मळीत
482,फुलपाखरू,फुल,पाखरू
483,स्वागत,स्वाग,त
484,वितुळलेला,वितुळ,लेला
485,अपरिचित,परिचित,अ
486,स्वप्निल,स्वप्न,िल
487,विजयी,विजय,ई
488,दवस्नात,दवस,्नात
489,काळाजर्द,काळा,जर्द
490,रात्रिमय,रात्रि,मय
491,सुधारणे,सुधार,णे
492,पायमोडका,पाय,मोडका
493,करामत,करा,मत
494,लष्करी,लष्कर,ी
495,अनामिक,नाम,अन
496,गुतणे,गुत,णे
497,संकोचणे,संकोच,णे
498,कुस्करणे,कुस्कर,णे
499,ईसाई,ईस,ाई
500,रातांधळा,रात,आंधळा
501,सुखदायक,सुख,दायक
502,संथगती,संथ,गती
503,समजावणे,समज,आवणे
504,परिपूर्ण,पूर्ण,परी
505,शोधणे,शोध,णे
506,अतुलनीय,तुल,अ
507,शाऐंशी,शा,ऐंशी
508,समाधानी,समाधान,ी
509,निष्पाप,निष,्पाप
510,कुलवंत,कुल,वंत
511,तिचाकी,तिच,ाकी
512,सचिंत,सच,िंत
513,अर्जदार,अर्ज,दार
514,अदाहक,अदा,हक
515,महागणे,महाग,णे
516,खंडित,खंड,ित
517,तुमुल,तुम,ुल
518,शुद्ध,शुद्ध,
519,प्यायलेला,प्याय,लेला
520,कंचे,कंच,े
521,उष्ण,उष्ण,
522,अव्यवहारी,व्यवहार,अ-
523,भाषांतरित,भाषा,ांतरित
524,शीतल,शीत,ल
525,स्वर्गीय,स्वर्ग,ीय
526,अपरिमित,परिमित,अ
527,श्रमी,श्रम,ी
528,समाजाविणे,समाज,आविणे
529,ऋणकरी,ऋण,करी
530,कल्पना,कल्प,ना
531,अप्रतिम,प्रतिम,अ
532,दीक्षित,दीक्ष,ित
533,नावाडी,नाव,ाडी
534,वीज,वीज,
535,सताविणे,सता,विणे
536,साधनविहिन,साधन,विहिन
537,सजीव,सज,जीव
538,हृदयस्पर्शी,हृदय,स्पर्शी
539,धूसर,धूस,र
540,एकजूट,एक,जूट
541,अपराधी,अपराध,ी
542,लोटणे,लोट,णे
543,तुळणे,तुळ,णे
544,ढिला,ढिल,ा
545,उत्तेजित,उत्तेज,ित
546,घेरलेला,घेर,लेला
547,अबोली,अबो,ली
548,परिणामकारक,परिणाम,कारक
549,अनोखा,अन,ोखा
550,विजयपूर्ण,विजय,पूर्ण
551,अशक्य,शक्य,अ
552,उखढणे,उखड,णे
553,सोपा,सोप,ा
554,बसवणे,बस,वणे
555,लहान-सहान,लहान,सहान
556,तलवारधारी,तलवार,धारी
557,इंद्रजीत,इंद्र,जीत
558,कातर,कात,र
559,बुचकळणे,बुचकळ,णे
560,टोलवणे,टोल,वणे
561,ईशान्य,ईश,आन्य
562,अनैसर्गिक,सर्ग,अनै
563,चिरहरित,चिर,हरित
564,सुगंध,गंध,सु
565,हिरकसदृश,हिरक,सदृश
566,अनेकार्थी,अनेक,ार्थी
567,दाबणे,दाब,णे
568,झणझणणे,झण,झणणे
569,द्युतिधर,द्युति,धर
570,टोकडा,टोक,डा
571,गोळावणे,गोळा,वणे
572,उदरांत्रीय,उदर,ांत्रीय
573,भयानक,भय,आनक
574,हसमुख,हस,मुख
575,उंचापूरा,उंच,ापूरा
576,अंथरणे,अंथर,णे
577,आळसणे,आळस,णे
578,पस्तीसएक,पस्तीस,एक
579,त्रयोदश,त्रय,ओदश
580,बाहुली,बाहु,ली
581,विवेकनिष्ठ,विवेक,निष्ठ
582,पेन,पेन,
583,डांभणे,डांभ,णे
584,वायू,वाय,ू
585,पेन्सिल,पेन्स,िल
586,कुथाडणे,कुथाड,णे
587,ओरबाडणे,ओर,बाडणे
588,परीकथा-सदृश,परीकथा,सदृश
589,निघणे,निघ,णे
590,स्नेहपूर्ण,स्नेह,पूर्ण
591,झिडकारणे,झिडकार,णे
592,अभिमानी,अभिमान,ी
593,चकचकणे,चकचक,णे
594,ठिसूळ,ठिस,ूळ
595,मिशनरी,मिशन,री
596,भोंगळ,भोंग,ळ
597,अर्धबोबडा,बोबडा,अर्ध
598,कथाकार,कथा,कार
599,कुलक्षण,कुल,क्षण
600,अनपेक्ष,पेक्ष,अन
601,माफ,माफ,
602,सत्तरेक,सत्त,रेक
603,निर्विघ्न,निर्विघ्न,
604,सरळ,सर,ळ
605,सौंदर्यपर,सौंदर्य,पर
606,नतद्रष्ट,द्रष्ट,नत
607,बुरूंडी,बुरू,ंडी
608,किनारा,किनार,ा
609,मुळमुळणे,मुळ,मुळणे
610,मुजोर,मुज,ोर
611,मानलेला,मान,लेला
612,आनंद,आनंद,
613,नवीन,नव,ईन
614,गाडणे,गाड,णे
615,साधक-बाधक,साधक,बाधक
616,रूप,रूप,
617,तारा,तार,ा
618,निसंकोची,निसंको,ची
619,पात्र,पात्र,
620,ओळखणे,ओळख,णे
621,चमकदार,चमक,दार
622,बोलणे,बोल,णे
623,रुपेरी,रुप,ेरी
624,निःसंदेह,संदेह,निः
625,कर्नाटक,कर्ण,आटक
626,बेट,बेट,
627,राक्षसी,राक्षस,ी
628,निळा,निळ,ा
629,पाडविणे,पाड,विणे
630,समृद्ध,समृद्ध,
631,शेकडो,शेक,डो
632,पाझरणे,पाझर,णे
633,नासाविणे,नासा,विणे
634,अरण्य,अरण,्य
635,चष्मा,चष्म,ा
636,हलचल,हल,चल
637,मार्ग,मार्ग,
638,थांबणे,थांब,णे
639,सकाळ,सक,ाळ
640,जलपरी,जल,परी
641,वातीचा,वात,ीचा
642,उंदीर,उंद,ीर
643,बहुरंगी,रंग,बहु
644,मुक्त,मुक्त,
645,वाचक,वाच,क
646,चैतन्यमय,चैतन्य,मय
647,चिमुरडी,चिमु,रडी
648,दाखविणे,दाख,विणे
649,संगीतमय,संगीत,मय
650,घोडा,घोड,ा
651,बोलावणे,बोल,आवणे
652,विषमभूज,भूज,विषम
653,गेय,गे,य
654,लालचणे,लाल,चणे
655,घरंदाज,घर,ंदाज
656,पेंग्विन,पेंग्विन,
657,मेघ,मेघ,
658,भिववणे,भिव,वणे
659,घेणे,घे,णे
660,राखणे,राख,णे
661,विश्वासपात्र,विश्वास,पात्र
662,आत्मकेंद्रित,आत्म,केंद्रित
663,तोलणे,तोल,णे
664,तेजस्वी,तेज,स्वी
665,प्रतीकात्मक,प्रतीक,आत्मक
666,खेळघर,खेळ,घर
667,हडकलेला,हडक,लेला
668,लटकवणे,लटक,वणे
669,जपणे,जप,णे
670,ठासणे,ठास,णे
671,हेलिकॉप्टर,हेलिकॉप्ट,र
672,चॉकलेट,चॉक,लेट
673,फानूस,फान,उस
674,लॉझेंज,लॉझ,ेंज
675,मायावी,माया,वी
676,पाहणे,पाह,णे
677,संपवणे,संप,वणे
678,गुलाब,गुल,ाब
679,कोपिष्ट,कोप,िष्ट
680,समूळ,सम,ूळ
681,शिकणे,शिक,णे
682,विषाणुजन्य,विषाणु,जन्य
683,काव्य,काव,्य
684,साक्षर,साक्ष,र
685,उत्साह,उत्स,आह
686,मूळ,मूळ,
687,कढीचट,कढी,चट
688,सोडलेला,सोड,लेला
689,आत्मसंतुष्ट,आत्म,संतुष्ट
690,आकांक्षा,आकांक्ष,ा
691,पक्षी,पक्ष,ी
692,रहस्यपूर्ण,रहस्य,पूर्ण
693,आशावादी,आशा,वादी
694,चुलत,चुल,त
695,संशयखोर,संशय,खोर
696,सर्जनशील,सर्जन,शील
697,विस्फारित,विस्फार,ित
698,समृद्ध,समृद्ध,
699,जीवनमय,जीवन,मय
700,मोडलेले,मोड,लेले
701,छत्री,छत्र,ी
702,व्हेल,व्हेल,
703,क्षुधावर्धक,क्षुधा,वर्धक
704,रोमांचक,रोमांच,क
705,गोडघाशा,गोड,घाशा
706,उमलविणे,उमल,विणे
707,डिझाइन,डिझाइन,
708,टपालपेटी,टपाल,पेटी
709,पौरुषी,पौरुष,ी
710,खेळ,खेळ,
711,आतड्याचा,आतड्य,ाचा
712,मांजर,मांज,र
713,अनुवादणे,अनुवाद,णे
714,चकित,चक,ित
715,जगमग,जग,मग
716,चोपणे,चोप,णे
717,उपयोगी,उपयोग,ी
718,ससा,सस,ा
719,लांडाभुंडा,लांडा,भुंडा
720,राजासंबंधीचा,राजा,संबंधीचा
721,शंक्वाकार,शंक्व,आकार
722,गुंजनमय,गुंजन,मय
723,रमणे,रम,णे
724,मंजूरीप्राप्त,प्राप्त,मंजूरी
725,बेडूक,बेड,ूक
726,लवचीक,लव,चीक
727,जलाशय,जल,आशय
728,सुरक्षित,सुरक्ष,ित
729,तोढीचा,तोढी,चा
730,जुनाट,जुन,आट
731,अजन्मा,जन्म,अ
732,सुरुचिपूर्ण,सुरुचि,पूर्ण
733,मघमघणे,मघ,मघणे
734,फडकणे,फडक,णे
735,बोलणारा,बोल,णारा
736,भिजवणे,भिज,वणे
737,वळवळणे,वळ,वळणे
738,विधानभवन,विधान,भवन
739,बावन्न,बाव,अन्न
740,सुगंधित,सुगंध,ित
741,ठेचकाळणे,ठेच,काळणे
742,बहुमजली,मजल,बहु
743,वाईट,वाईट,
744,उद्यमी,उद्यम,ी
745,हसमुख,हस,मुख
746,मोहक,मोह,क
747,आश्चर्यचकित,आश्चर्य,चकित
748,गोडमुख,गोड,मुख
749,अभिनव,अभि,नव
750,रंगीबेरंगी,रंगी,बेरंगी
751,विश्वासक,विश्वास,क
752,डबा,डब,ा
753,उजळवणे,उजळ,वणे
754,अवर्णनीय,वर्ण,अ-नीय
755,कायमस्वरुपी,कायम,स्वरुपी
756,सूर्यास्त,सूर्य,आस्त
757,कविता,कवि,ता
758,निंदात्मक,निंद,ात्मक
759,अपूर्व,अ,पूर्व
760,अलौकिक,लौकिक,अ
761,असत्य,सत्य,अ
762,सफळ,सफ,ळ
763,जहाज,जहा,ज
764,धीरस्थीर,धीर,स्थीर
765,कलकलता,कलकल,ता
766,सर्वसामान्य,सर्व,सामान्य
767,अनघड,अनघ,ड
768,वयस्कर,वय,स्कर
769,चिन्मय,चिन,्मय
770,गुलाबी,गुला,बी
771,अधिकाधिक,अधिक,अधिक
772,कल्याणमय,कल्याण,मय
773,अगाध,अ,गाध
774,पंख,पंख,
775,हलकेफुलके,हलके,फुलके
776,विकसनशील,विकसन,शील
777,शत्रू,शत्रु,
778,गाडी,गाड,ी
779,आक्रमित,आक्रम,ित
780,क्षम्य,क्षम,्य
781,योजित,योज,ित
782,पांघरूण,पांघर,ण
783,नग्न,नग्न,
784,हिंदळणे,हिंदळ,णे
785,अनुभूत,अनुभू,त
786,संतुलित,तुल,संतु
787,लावण्यपूर्ण,लावण्य,पूर्ण
788,विसंगत,संग,विसं
789,संध्याकाळ,संध्या,काळ
790,डागणे,डाग,णे
791,काळाकुळकुळीत,कुळकुळीत,काळा
792,चिरकणे,चिर,कणे
793,रात्र,रात्र,
794,विजोड,विजो,ड
795,एकवीस,एक,वीस
796,सांगणे,सांग,णे
797,अनुपम,अनु,पम
798,मळघाऊ,मळ,घाऊ
799,लाकूड,लाक,ूड
800,समुद्र,समु,द्र
801,नावाजणे,नाव,जणे
802,मोती,मोत,ी
803,डोकाविणे,डोक,ाविणे
804,निवेदित,निवे,दित
805,प्रदीप्त,प्रद,ीप्त
806,उत्पादिलेला,उत्पाद,िलेला
807,स्थापिणे,स्थापि,णे
808,आग,आग,
809,जळवणे,जळ,वणे
810,गुडगुडणे,गुडगुड,णे
811,उपेक्ष्य,उपेक्षा,य
812,संगीत,संग,ीत
